,Braddock_16.fastq,Braddock_17.fastq,Braddock_18.fastq,Braddock_19.fastq,Braddock_20.fastq,Control_28.fastq,Control_29.fastq,NevilleIsland_1.fastq,NevilleIsland_2.fastq,NevilleIsland_3.fastq,NevilleIsland_4.fastq,NevilleIsland_5.fastq,PointAll_21.fastq,PointAll_22.fastq,PointAll_23.fastq,PointAll_24.fastq,PointAll_25.fastq,PointMon_10.fastq,PointMon_6.fastq,PointMon_7.fastq,PointMon_8.fastq,PointMon_9.fastq,Sharpsburg_11.fastq,Sharpsburg_12.fastq,Sharpsburg_13.fastq,Sharpsburg_14.fastq,unclassified_0.fastq,
NevilleIsland_4.fastq,0.3035234995145908,0.15292687867125787,0.5652978795018513,0.401690873618036,0.4608647552318613,0.9992094861660079,0.9981564392941796,0.745550579859915,0.8184201119980936,0.19394584727715247,0,0.5955385492143613,0.9465361445783133,0.9696072118480361,0.8506379491981739,0.9468671679197995,0.8786570743405275,0.8442810654453416,0.3077240053111121,0.55979011322839,0.6253924307220725,0.9770684039087948,0.8189300411522633,0.9340025383639091,0.8614933453643131,0.8526624548736462,0.7848568790397046,
NevilleIsland_5.fastq,0.45055395978662294,0.556450260023486,0.10839355197331846,0.27616438356164386,0.31892435285247545,0.9982982344182089,0.9965993623804463,0.6140893470790378,0.7067587209302326,0.5845598986255971,0.5955385492143613,0,0.8511518015357353,0.9265791632485644,0.6618323310930314,0.8452170496955411,0.7233535131168594,0.7374260355029586,0.7228788518362178,0.6114873338349636,0.7839953146629752,0.9628081905557877,0.6057347670250897,0.625822083766009,0.5736991801907312,0.5748953974895398,0.6799999999999999,
PointAll_21.fastq,0.9258756185116911,0.943998948337058,0.8367521367521368,0.8857573474001508,0.884161405435081,0.9948186528497409,0.9641025641025641,0.8604651162790697,0.7544154751892347,0.8758411843876177,0.9465361445783133,0.8511518015357353,0,0.3654188948306596,0.43539955190440627,0.4561855670103093,0.3380281690140845,0.7785910338517841,0.9707590353214457,0.9185569827821809,0.9770820175042858,0.6263269639065818,0.5297927461139896,0.4859876965140123,0.5415162454873645,0.5433734939759036,0.7095890410958905,
PointAll_22.fastq,0.9645684877276326,0.9681253376553215,0.9200357382175564,0.9446517412935324,0.9313953488372093,0.9890710382513661,0.9251336898395722,0.8602150537634409,0.7363083164300203,0.9376415258665738,0.9696072118480361,0.9265791632485644,0.3654188948306596,0,0.6883802816901409,0.3891797556719022,0.6162915326902465,0.7662921348314606,0.9835111542192047,0.9646990740740741,0.9891666162319191,0.4029850746268657,0.7330350484712901,0.7174603174603175,0.7546264564770391,0.755662319835278,0.8106603023070804,
PointAll_23.fastq,0.8242970042271641,0.8435590320215106,0.6357754519505233,0.7350901525658807,0.6965386439070649,0.9958376690946931,0.983419689119171,0.5432692307692308,0.4126984126984127,0.7564043564963951,0.8506379491981739,0.6618323310930314,0.43539955190440627,0.6883802816901409,0,0.5736491487786824,0.12565751022793692,0.40527577937649883,0.9161188535366815,0.8564005668398678,0.9437086092715232,0.8298279158699808,0.12222746578574795,0.41805691854759564,0.32409476978095664,0.40671140939597317,0.3680589680589681,
PointAll_24.fastq,0.9441806376586879,0.944087150544691,0.8704177323103155,0.9091319392207011,0.8467852257181943,0.9899497487437185,0.9601990049751243,0.7455504284772577,0.6069941715237301,0.8985896574882472,0.9468671679197995,0.8452170496955411,0.4561855670103093,0.3891797556719022,0.5736491487786824,0,0.5,0.5457013574660634,0.9709195166905591,0.9324434758921275,0.9763687201226662,0.6356107660455487,0.6233933161953727,0.5511864406779661,0.6475507765830346,0.6566985645933014,0.7119565217391304,
PointAll_25.fastq,0.8587882760558104,0.8724150896102268,0.7015043547110056,0.7856429285000713,0.7459526774595268,0.9973614775725593,0.9816272965879265,0.6004262120404902,0.4657270980140935,0.7891070297656745,0.8786570743405275,0.7233535131168594,0.3380281690140845,0.6162915326902465,0.12565751022793692,0.5,0,0.46484641638225255,0.9320407755346792,0.8838997767303398,0.9552065673239939,0.7912218268090154,0.2296450939457203,0.4659400544959128,0.35889872173058013,0.452755905511811,0.4432314410480349,
PointMon_10.fastq,0.8772094772470853,0.8356854838709677,0.7320822519464962,0.8081562320505457,0.6445115810674723,0.9944055944055944,0.9777468706536857,0.3162486368593239,0.1462450592885376,0.7867049258727882,0.8442810654453416,0.7374260355029586,0.7785910338517841,0.7662921348314606,0.40527577937649883,0.5457013574660634,0.46484641638225255,0,0.9135373513296806,0.8826479438314945,0.9580082196676395,0.7775,0.31446876668446344,0.7857142857142857,0.6956303365143144,0.7928607340372046,0.29122414756847403,
PointMon_6.fastq,0.43961952026468154,0.35716945996275606,0.695143642537595,0.5841622781353618,0.6396437542817994,0.9995792131285504,0.9990184393185164,0.8558980361555468,0.8986854335413623,0.4625826310743302,0.3077240053111121,0.7228788518362178,0.9707590353214457,0.9835111542192047,0.9161188535366815,0.9709195166905591,0.9320407755346792,0.9135373513296806,0,0.6568560346794433,0.3973091125164466,0.9877300613496932,0.8959590062917558,0.9624413145539906,0.9204377212745414,0.9157921843816391,0.8768668884106177,
PointMon_7.fastq,0.5680957430692319,0.4791468291753952,0.553003300330033,0.527806925498426,0.4144998470480269,0.9975617189881134,0.995738203957382,0.8536363636363636,0.8790401567091087,0.7361692499151488,0.55979011322839,0.6114873338349636,0.9185569827821809,0.9646990740740741,0.8564005668398678,0.9324434758921275,0.8838997767303398,0.8826479438314945,0.6568560346794433,0,0.8227091633466135,0.9786096256684492,0.8432079297138995,0.8866452501147315,0.8077682685977616,0.7650933040614709,0.7676234213547646,
PointMon_8.fastq,0.5472050850626285,0.645415544248229,0.7751648055966636,0.6813905930470348,0.8216895482728078,0.9997566243801527,0.9995133079847909,0.933921741688732,0.9522480251826335,0.7145384995706368,0.6253924307220725,0.7839953146629752,0.9770820175042858,0.9891666162319191,0.9437086092715232,0.9763687201226662,0.9552065673239939,0.9580082196676395,0.3973091125164466,0.8227091633466135,0,0.9945988590848404,0.9328220047606454,0.9572287027218098,0.9259671420622603,0.9264313955191097,0.9446162910590661,
PointMon_9.fastq,0.9824246055522269,0.9756631118403063,0.9594255755641669,0.9719331441185746,0.946865671641791,0.956989247311828,0.8556701030927836,0.8547854785478548,0.8035714285714286,0.9685011502388958,0.9770684039087948,0.9628081905557877,0.6263269639065818,0.4029850746268657,0.8298279158699808,0.6356107660455487,0.7912218268090154,0.7775,0.9877300613496932,0.9786096256684492,0.9945988590848404,0,0.8577138289368506,0.8495726495726496,0.8699780861943024,0.8697878566203365,0.8491859468723222,
Sharpsburg_11.fastq,0.7929106160367998,0.8087516394419936,0.5754578754578754,0.693863789615644,0.6350893059009721,0.9948542024013722,0.9863247863247864,0.43544857768052514,0.29913661757237175,0.7141582391433671,0.8189300411522633,0.6057347670250897,0.5297927461139896,0.7330350484712901,0.12222746578574795,0.6233933161953727,0.2296450939457203,0.31446876668446344,0.8959590062917558,0.8432079297138995,0.9328220047606454,0.8577138289368506,0,0.45697726259473914,0.35708435708435704,0.4360655737704918,0.2964285714285714,
Sharpsburg_12.fastq,0.8866073051063057,0.930411750541777,0.7612939208031233,0.8262885192255249,0.8360202671579917,0.9944700460829493,0.9853076216712581,0.8811252268602541,0.8114406779661016,0.8654222489838929,0.9340025383639091,0.625822083766009,0.4859876965140123,0.7174603174603175,0.41805691854759564,0.5511864406779661,0.4659400544959128,0.7857142857142857,0.9624413145539906,0.8866452501147315,0.9572287027218098,0.8495726495726496,0.45697726259473914,0,0.46802202456586195,0.4684188215345485,0.7313571097730431,
Sharpsburg_13.fastq,0.7727800089245872,0.854673721340388,0.5421297956256723,0.6660029204832072,0.7278132569918521,0.9953271028037384,0.9875776397515528,0.764461090303787,0.6885481552467657,0.8196433791289097,0.8614933453643131,0.5736991801907312,0.5415162454873645,0.7546264564770391,0.32409476978095664,0.6475507765830346,0.35889872173058013,0.6956303365143144,0.9204377212745414,0.8077682685977616,0.9259671420622603,0.8699780861943024,0.35708435708435704,0.46802202456586195,0,0.11649726348709932,0.5436810856658185,
Sharpsburg_14.fastq,0.7725609211818263,0.8449958838057157,0.543400286944046,0.6664453591820476,0.710068296981714,0.9937597503900156,0.9875583203732504,0.8475635152019991,0.7822541966426859,0.8464912280701754,0.8526624548736462,0.5748953974895398,0.5433734939759036,0.755662319835278,0.40671140939597317,0.6566985645933014,0.452755905511811,0.7928607340372046,0.9157921843816391,0.7650933040614709,0.9264313955191097,0.8697878566203365,0.4360655737704918,0.4684188215345485,0.11649726348709932,0,0.6196943972835314,
unclassified_0.fastq,0.8271380532582023,0.7726123088040467,0.6521577380952381,0.7446460237348247,0.5653376353998617,0.9944547134935305,0.9871086556169429,0.43389368468877787,0.31564986737400536,0.7457831325301205,0.7848568790397046,0.6799999999999999,0.7095890410958905,0.8106603023070804,0.3680589680589681,0.7119565217391304,0.4432314410480349,0.29122414756847403,0.8768668884106177,0.7676234213547646,0.9446162910590661,0.8491859468723222,0.2964285714285714,0.7313571097730431,0.5436810856658185,0.6196943972835314,0,
